	Final Conc. N2O ppm-v at each time point (hr)	0.083	1	2	3	ppm-m (ug/mL) in 61 mL				ug/mL in 10 mL				ug N2O accounting for sampling						GRAPH		
	Sample ID	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	Slope-denitrification rate 	Denitrification rate	Denitrification rate	dry mass (g)	Denitrification rate
		ppm-v	ppm-v	ppm-v	ppm-v	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N20  hr-1	ng N2O hr-1	ng N2O g-1 DM hr-1		ng N2O g DM-1 day-1
-	Ag8	3.557743	5.758461	6.75198	7.848787	0.39	0.64	0.75	0.87	0.06	0.1	0.12	0.14	0.39	0.7	0.92	1.16	0.26	258	13	20.35967029	303.91
-	Ag9	2.173075		3.011841	3.121763	0.24	0	0.33	0.35	0.04	0	0.05	0.06	0.24	0.04	0.37	0.44	0.1	97	5	19.78006991	118.24
-	Ag10	2.196835	2.959739	4.054343	4.744722	0.24	0.33	0.45	0.53	0.04	0.05	0.07	0.09	0.24	0.37	0.54	0.69	0.16	157	8	19.7216615	190.48
-	Ag11	2.084838	2.59999	2.591688		0.23	0.29	0.29	0	0.04	0.05	0.05	0	0.23	0.33	0.37	0.13	-0.03	-27	-1	19.5466614	-33.06
-	Ag12	1.976483	3.255621	3.659884		0.22	0.36	0.41	0	0.04	0.06	0.07	0	0.22	0.4	0.5	0.16	-0.01	-9	0	18.84354358	-11.42
-	Control A -	0.823283	2.081909	2.791489	3.066796	0.09	0.23	0.31	0.34	0.01	0.04	0.05	0.06	0.09	0.25	0.36	0.44	0.12	120	5	25	115.19
-	MI9-1	1.389238	2.025504	2.678385	3.570959	0.15	0.22	0.3	0.4	0.03	0.04	0.05	0.06	0.15	0.25	0.36	0.51	0.12	120	7	16.90529479	170.18
-	MI9-2	1.229952	2.445148	3.04049		0.14	0.27	0.34	0	0.02	0.04	0.06	0	0.14	0.29	0.4	0.12	0.01	5	0	16.04518295	7.94
-	MI9-3	1.232652	2.00191	2.76391	3.42997	0.14	0.22	0.31	0.38	0.02	0.04	0.05	0.06	0.14	0.24	0.37	0.49	0.12	121	7	17.32005404	167.59
-	MI9-4	1.280972	2.250032	4.214928	7.389073	0.14	0.25	0.47	0.82	0.02	0.04	0.08	0.13	0.14	0.27	0.53	0.96	0.28	279	18	15.40914482	435.19
-	MI9-5	1.401092		2.859342	3.247473	0.16	0	0.32	0.36	0.03	0	0.05	0.06	0.16	0.03	0.34	0.44	0.12	121	9	13.77381346	210.59
-	MI9-6	1.279852	2.832463		4.004113	0.14	0.31	0	0.44	0.02	0.05	0	0.07	0.14	0.34	0.07	0.52	0.09	89	5	16.97008049	125.94
-	MI9-7	2.954837	3.579465	4.259849	4.686496	0.33	0.4	0.47	0.52	0.05	0.07	0.08	0.09	0.33	0.45	0.59	0.72	0.13	134	10	14.03560384	228.87
-	MI9-8	2.234905	3.047862	3.499618	3.97088	0.25	0.34	0.39	0.44	0.04	0.06	0.06	0.07	0.25	0.38	0.48	0.6	0.12	119	7	17.5275201	162.98
-	MI9-9	2.373386	3.441035	4.022066	4.557921	0.26	0.38	0.45	0.51	0.04	0.06	0.07	0.08	0.26	0.42	0.55	0.68	0.14	142	8	18.34721311	186.21
-	MI9-10	2.085933	3.062021	3.594973	4.364881	0.23	0.34	0.4	0.48	0.04	0.06	0.07	0.08	0.23	0.38	0.49	0.64	0.14	138	8	16.83477126	197.2
-	MI9-11	2.322303	2.690074	3.049339	3.352925	0.26	0.3	0.34	0.37	0.04	0.05	0.06	0.06	0.26	0.34	0.43	0.52	0.09	89	6	14.51390375	147.75
-	MI9-12	1.7688	2.457473	2.795704	3.295882	0.2	0.27	0.31	0.37	0.03	0.04	0.05	0.06	0.2	0.3	0.39	0.49	0.1	100	9	10.97019361	218.14
